"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000024778127"	-11.446	-90.096
"ZINC000019762833"	-10.313	-90.094
"ZINC000022997438"	-10.895	-90.090
"ZINC000029592606"	-10.079	-90.084
"ZINC000257218816"	-10.356	-90.079
"ZINC000036346322"	-10.180	-90.077
"ZINC000013004992"	-10.352	-90.075
"ZINC000002182921"	-10.256	-90.067
"ZINC000002419344"	-10.797	-90.057
"ZINC000003015449"	-11.242	-90.035
"ZINC000009804728"	-10.377	-90.015
"ZINC000033279096"	-11.679	-90.012
"ZINC000408625349"	-10.465	-90.012
"ZINC000009510910"	-10.143	-90.010
"ZINC000022768220"	-10.667	-90.010
"ZINC000057222679"	-10.506	-90.001
"ZINC000023641894"	-10.516	-89.992
"ZINC000014154214"	-10.470	-89.980
"ZINC000408848800"	-10.821	-89.965
"ZINC000021779990"	-10.961	-89.954
"ZINC000032678937"	-10.310	-89.940
"ZINC000306141549"	-10.743	-89.934
"ZINC000019499343"	-10.907	-89.913
"ZINC000020219664"	-10.269	-89.904
"ZINC000003015387"	-11.187	-89.898
"ZINC000004844467"	-10.568	-89.889
"ZINC000030866768"	-10.558	-89.887
"ZINC000006760521"	-11.211	-89.876
"ZINC000409210842"	-10.042	-89.873
"ZINC000222622569"	-10.474	-89.852
"ZINC000057504417"	-10.327	-89.835
"ZINC000006507074"	-10.158	-89.832
"ZINC000040009595"	-10.097	-89.829
"ZINC000013960326"	-10.209	-89.824
"ZINC000096194346"	-10.045	-89.814
"ZINC000001151251"	-10.018	-89.806
"ZINC000019754897"	-10.404	-89.771
"ZINC000019890963"	-10.235	-89.771
"ZINC000113838026"	-10.183	-89.768
"ZINC000227143121"	-10.127	-89.751
"ZINC000008710487"	-10.436	-89.750
"ZINC000067259506"	-10.569	-89.713
"ZINC000057427990"	-10.414	-89.708
"ZINC000003262830"	-10.239	-89.705
"ZINC001531329113"	-10.214	-89.676
"ZINC000101844073"	-10.193	-89.666
"ZINC000226739828"	-10.193	-89.666
"ZINC000012442684"	-10.326	-89.666
"ZINC000019766325"	-10.164	-89.656
"ZINC000040488331"	-10.637	-89.638
"ZINC000013499920"	-10.734	-89.616
"ZINC000098211395"	-11.017	-89.596
"ZINC000367882812"	-10.822	-89.584
"ZINC000096194368"	-10.034	-89.579
"ZINC000101847484"	-10.292	-89.578
"ZINC000013150683"	-10.260	-89.574
"ZINC000021143466"	-10.836	-89.568
"ZINC000023323343"	-10.456	-89.565
"ZINC000002313314"	-11.108	-89.565
"ZINC000072345540"	-10.390	-89.563
"ZINC000001376963"	-10.405	-89.560
"ZINC000012778569"	-10.297	-89.557
"ZINC000022997875"	-10.649	-89.551
"ZINC000072371936"	-11.116	-89.551
"ZINC000004272296"	-10.904	-89.512
"ZINC000032501870"	-10.036	-89.510
"ZINC000019824654"	-10.120	-89.509
"ZINC000021171815"	-11.169	-89.502
"ZINC000065215648"	-10.711	-89.500
"ZINC000008604351"	-10.072	-89.492
"ZINC000006232598"	-10.401	-89.491
"ZINC000014988249"	-10.336	-89.483
"ZINC000009632611"	-11.718	-89.477
"ZINC000054313744"	-10.411	-89.474
"ZINC000009414982"	-10.008	-89.474
"ZINC000013693236"	-10.150	-89.473
"ZINC000012882811"	-10.933	-89.461
"ZINC000013730632"	-10.984	-89.456
"ZINC000006529984"	-10.157	-89.442
"ZINC000016839013"	-11.652	-89.436
"ZINC000009493251"	-10.955	-89.429
"ZINC000057427896"	-11.173	-89.427
"ZINC000057314007"	-10.058	-89.394
"ZINC000019564250"	-11.210	-89.387
"ZINC000036724976"	-10.588	-89.371
"ZINC000024148130"	-10.953	-89.363
"ZINC000092028299"	-10.477	-89.357
"ZINC000011768294"	-10.653	-89.343
"ZINC000409291081"	-11.931	-89.329
"ZINC000020393952"	-10.569	-89.302
"ZINC000035529282"	-10.736	-89.300
"ZINC000020356023"	-11.062	-89.298
"ZINC000019762175"	-10.490	-89.296
"ZINC000095480597"	-10.721	-89.293
"ZINC000040267955"	-10.874	-89.291
"ZINC000257298184"	-11.321	-89.275
"ZINC000604418613"	-10.644	-89.260
"ZINC000008593885"	-10.072	-89.257
"ZINC000009668840"	-10.646	-89.254
"ZINC000006661543"	-11.142	-89.249
"ZINC000008608588"	-10.606	-89.232
"ZINC000035316595"	-11.202	-89.230
"ZINC000006679303"	-10.247	-89.227
"ZINC000023436881"	-10.299	-89.225
"ZINC000219608258"	-10.421	-89.208
"ZINC000408575208"	-10.182	-89.202
"ZINC000033325008"	-10.037	-89.202
"ZINC000003263234"	-10.178	-89.186
"ZINC000022853862"	-10.834	-89.184
"ZINC000009152318"	-11.104	-89.178
"ZINC000020363420"	-10.194	-89.172
"ZINC000014273488"	-11.229	-89.155
"ZINC000067218405"	-11.132	-89.155
"ZINC000013690484"	-10.473	-89.107
"ZINC000033129791"	-10.792	-89.095
"ZINC000013693395"	-10.594	-89.092
"ZINC000023118791"	-10.006	-89.087
"ZINC000020942457"	-10.203	-89.074
"ZINC000040009593"	-10.393	-89.073
"ZINC000057489876"	-10.315	-89.056
"ZINC000009288933"	-10.189	-89.054
"ZINC000102735355"	-10.891	-89.037
"ZINC000008897262"	-11.358	-89.024
"ZINC000227143299"	-10.743	-89.009
"ZINC000005167708"	-10.025	-88.991
"ZINC000009840963"	-10.262	-88.977
"ZINC000000795694"	-10.200	-88.975
"ZINC000057488381"	-10.269	-88.962
"ZINC000001405542"	-10.881	-88.958
"ZINC000005106711"	-10.441	-88.955
"ZINC000057490834"	-11.118	-88.953
"ZINC000005102469"	-10.046	-88.933
"ZINC000100630019"	-10.124	-88.925
"ZINC000170625940"	-11.035	-88.913
"ZINC000012415042"	-11.072	-88.906
"ZINC001775970528"	-10.420	-88.891
"ZINC000022242091"	-10.529	-88.885
"ZINC000020589420"	-10.321	-88.880
"ZINC000000636176"	-12.018	-88.878
"ZINC000224742650"	-10.317	-88.873
"ZINC000012421043"	-10.419	-88.871
"ZINC000058088543"	-10.039	-88.870
"ZINC000006764452"	-11.221	-88.865
"ZINC000100156803"	-10.040	-88.863
"ZINC000014963674"	-10.295	-88.859
"ZINC000033328802"	-10.101	-88.854
"ZINC000001880634"	-10.130	-88.824
"ZINC000124410208"	-10.272	-88.822
"ZINC000408987085"	-10.479	-88.812
"ZINC000000682647"	-10.640	-88.804
"ZINC000002443760"	-10.353	-88.804
"ZINC000059294136"	-10.189	-88.795
"ZINC000016944281"	-11.120	-88.794
"ZINC000100658358"	-10.234	-88.788
"ZINC000009519780"	-11.075	-88.779
"ZINC000057486414"	-11.570	-88.779
"ZINC000002244161"	-10.704	-88.762
"ZINC000067770792"	-10.868	-88.761
"ZINC000032088453"	-10.146	-88.757
"ZINC000409365267"	-10.285	-88.752
"ZINC000002689917"	-10.263	-88.751
"ZINC000023074902"	-10.018	-88.748
"ZINC000072353819"	-10.657	-88.741
"ZINC000013150688"	-10.380	-88.737
"ZINC000019719646"	-10.612	-88.737
"ZINC000012857292"	-10.094	-88.725
"ZINC000009382790"	-10.993	-88.722
"ZINC000010325141"	-10.239	-88.705
"ZINC000002716537"	-10.578	-88.691
"ZINC000006679390"	-11.266	-88.691
"ZINC000006738864"	-10.726	-88.690
"ZINC000020065916"	-11.056	-88.687
"ZINC000020650201"	-10.319	-88.680
"ZINC000003007736"	-11.289	-88.676
"ZINC000096154908"	-10.561	-88.676
"ZINC000100966094"	-10.075	-88.670
"ZINC000102487336"	-10.592	-88.643
"ZINC000012444206"	-11.012	-88.631
"ZINC000006679392"	-10.746	-88.620
"ZINC000011981380"	-10.237	-88.619
"ZINC000065380469"	-10.304	-88.614
"ZINC000020308799"	-10.317	-88.611
"ZINC000010441329"	-10.512	-88.576
"ZINC000057487233"	-11.147	-88.575
"ZINC000409225177"	-11.005	-88.568
"ZINC000012545893"	-11.171	-88.564
"ZINC000019452372"	-11.023	-88.563
"ZINC000012247389"	-11.445	-88.557
"ZINC000019744376"	-11.111	-88.555
"ZINC000009593444"	-10.644	-88.547
"ZINC000013992366"	-10.210	-88.515
"ZINC000002731068"	-10.172	-88.513
"ZINC000016311589"	-10.058	-88.504
"ZINC000102550028"	-10.342	-88.504
"ZINC000004585498"	-10.977	-88.501
"ZINC000020219640"	-10.198	-88.499
"ZINC000408571410"	-10.398	-88.490
"ZINC000013096709"	-10.620	-88.476
"ZINC000017672821"	-10.215	-88.454
"ZINC000001409556"	-10.636	-88.448
"ZINC000257295858"	-10.095	-88.446
"ZINC000033325240"	-10.450	-88.443
"ZINC000032945225"	-10.278	-88.441
"ZINC000067602012"	-10.349	-88.434
"ZINC000014690026"	-10.852	-88.425
"ZINC000057487252"	-10.789	-88.409
"ZINC000004585229"	-11.175	-88.393
"ZINC000012230490"	-10.801	-88.391
"ZINC000002110893"	-10.230	-88.379
"ZINC000021359941"	-10.909	-88.373
"ZINC000006173127"	-10.453	-88.372
"ZINC000057487234"	-10.491	-88.360
"ZINC000012247069"	-10.185	-88.337
"ZINC000071746313"	-11.850	-88.335
