"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000003273633"	-10.313	-79.888
"ZINC000032739558"	-10.640	-79.869
"ZINC000022609544"	-11.153	-79.869
"ZINC000013150683"	-10.127	-79.854
"ZINC000013321893"	-10.162	-79.821
"ZINC000020483811"	-10.130	-79.804
"ZINC000009632611"	-10.798	-79.765
"ZINC000012391254"	-10.118	-79.750
"ZINC000009177853"	-10.092	-79.750
"ZINC000008597869"	-10.525	-79.704
"ZINC000023323343"	-10.888	-79.691
"ZINC000013476550"	-10.009	-79.645
"ZINC000006252410"	-10.267	-79.611
"ZINC000016839000"	-11.718	-79.609
"ZINC000102535292"	-10.446	-79.595
"ZINC000013683615"	-10.134	-79.578
"ZINC000222779382"	-10.266	-79.568
"ZINC000012509727"	-10.340	-79.562
"ZINC000019753335"	-10.116	-79.550
"ZINC000000703872"	-10.598	-79.543
"ZINC000057487494"	-10.066	-79.534
"ZINC000023157273"	-11.195	-79.529
"ZINC000002626622"	-10.138	-79.526
"ZINC000225548835"	-10.121	-79.521
"ZINC000001432707"	-10.313	-79.479
"ZINC000019743886"	-10.643	-79.473
"ZINC000008926270"	-10.168	-79.451
"ZINC000022609612"	-11.263	-79.446
"ZINC000033328900"	-10.418	-79.446
"ZINC000017295613"	-10.661	-79.445
"ZINC000014690026"	-10.611	-79.440
"ZINC000014998523"	-10.370	-79.434
"ZINC000102170247"	-10.141	-79.432
"ZINC000003015519"	-10.372	-79.430
"ZINC000019237581"	-10.184	-79.420
"ZINC000035334618"	-10.334	-79.413
"ZINC000022610859"	-10.036	-79.393
"ZINC000409135182"	-10.031	-79.367
"ZINC000252571346"	-10.059	-79.360
"ZINC000022784263"	-10.615	-79.354
"ZINC000019884612"	-10.586	-79.332
"ZINC000000990057"	-10.584	-79.306
"ZINC000023128775"	-10.500	-79.277
"ZINC000023157323"	-10.495	-79.275
"ZINC000005177183"	-10.537	-79.255
"ZINC000408550967"	-10.957	-79.252
"ZINC000013946297"	-10.314	-79.251
"ZINC000101287987"	-10.149	-79.235
"ZINC000409076892"	-10.142	-79.223
"ZINC000013894771"	-10.197	-79.218
"ZINC000009716771"	-10.467	-79.207
"ZINC000009477638"	-10.758	-79.204
"ZINC000101287438"	-10.097	-79.200
"ZINC000035911285"	-10.897	-79.198
"ZINC000023157414"	-10.685	-79.197
"ZINC000022853669"	-10.416	-79.191
"ZINC000005557305"	-10.053	-79.182
"ZINC000004087098"	-10.032	-79.181
"ZINC000024774097"	-10.419	-79.178
"ZINC000000971909"	-10.164	-79.176
"ZINC000019743696"	-10.449	-79.173
"ZINC000008955563"	-10.414	-79.127
"ZINC000029875090"	-10.696	-79.125
"ZINC000102930612"	-10.524	-79.124
"ZINC000003040338"	-10.775	-79.115
"ZINC000020768755"	-10.139	-79.111
"ZINC000017098678"	-10.645	-79.083
"ZINC000048985882"	-10.126	-79.083
"ZINC000020942457"	-10.301	-79.075
"ZINC000000862006"	-10.136	-79.031
"ZINC000032753532"	-10.454	-79.027
"ZINC000014532407"	-10.295	-79.017
"ZINC000000951196"	-10.192	-79.013
"ZINC000022626901"	-10.800	-79.005
"ZINC000010035032"	-10.059	-78.986
"ZINC000022627038"	-10.809	-78.971
"ZINC000023908582"	-10.460	-78.971
"ZINC000010253000"	-10.173	-78.961
"ZINC000032981893"	-10.620	-78.950
"ZINC000263588098"	-10.754	-78.915
"ZINC000008923326"	-10.690	-78.897
"ZINC000048986988"	-10.063	-78.837
"ZINC000005518920"	-10.861	-78.822
"ZINC000067259506"	-10.411	-78.821
"ZINC000016523715"	-10.165	-78.814
"ZINC000409207306"	-10.072	-78.810
"ZINC000005021770"	-10.122	-78.802
"ZINC000023157423"	-11.132	-78.790
"ZINC000022909137"	-10.301	-78.782
"ZINC000041077464"	-10.228	-78.780
"ZINC000002365407"	-10.352	-78.775
"ZINC000205981156"	-10.917	-78.768
"ZINC000020356406"	-10.259	-78.765
"ZINC000009309279"	-10.468	-78.733
"ZINC000004585229"	-10.702	-78.723
"ZINC000020204772"	-10.441	-78.720
"ZINC000019714355"	-10.908	-78.705
"ZINC000008828312"	-10.461	-78.701
"ZINC000004018858"	-10.244	-78.697
"ZINC000013476548"	-10.007	-78.695
"ZINC000952981463"	-10.113	-78.634
"ZINC000035656761"	-10.304	-78.621
"ZINC000037171041"	-10.445	-78.619
"ZINC000023156784"	-10.063	-78.614
"ZINC000000923170"	-10.485	-78.613
"ZINC000009569081"	-10.632	-78.586
"ZINC000002871201"	-10.268	-78.573
"ZINC000205949754"	-11.239	-78.570
"ZINC000257283659"	-10.242	-78.558
"ZINC000000986167"	-10.059	-78.511
"ZINC000057487156"	-10.492	-78.500
"ZINC000040141772"	-10.532	-78.497
"ZINC000033325292"	-10.093	-78.472
"ZINC000409193591"	-10.081	-78.467
"ZINC000022627165"	-11.056	-78.462
"ZINC000020717646"	-10.115	-78.455
"ZINC000022876446"	-10.231	-78.449
"ZINC000299765774"	-10.577	-78.447
"ZINC000017295598"	-10.573	-78.436
"ZINC000012377053"	-11.058	-78.430
"ZINC000020503995"	-10.212	-78.423
"ZINC000409363117"	-10.187	-78.420
"ZINC000008993494"	-10.060	-78.388
"ZINC000001325074"	-10.634	-78.388
"ZINC000072425855"	-10.199	-78.381
"ZINC000020158335"	-10.208	-78.371
"ZINC000019869036"	-10.692	-78.364
"ZINC000023158080"	-10.251	-78.348
"ZINC000009664922"	-11.574	-78.343
"ZINC000009832053"	-10.114	-78.333
"ZINC000023157300"	-10.814	-78.332
"ZINC000021942703"	-10.520	-78.329
"ZINC000008707322"	-10.822	-78.324
"ZINC000013096709"	-10.473	-78.321
"ZINC000004164630"	-10.179	-78.318
"ZINC000022784257"	-10.851	-78.317
"ZINC000239235551"	-10.700	-78.315
"ZINC000011790411"	-10.203	-78.310
"ZINC000022854702"	-10.649	-78.310
"ZINC000025666336"	-10.328	-78.297
"ZINC000000035076"	-10.510	-78.259
"ZINC000041077465"	-10.819	-78.251
"ZINC000100156803"	-10.563	-78.245
"ZINC000023995117"	-10.130	-78.243
"ZINC000032935479"	-10.067	-78.241
"ZINC000015822127"	-10.520	-78.235
"ZINC000013121376"	-10.514	-78.226
"ZINC000009967545"	-11.129	-78.214
"ZINC000096266784"	-11.057	-78.210
"ZINC000040396408"	-10.029	-78.206
"ZINC000008601653"	-10.247	-78.204
"ZINC000022627823"	-10.057	-78.189
"ZINC000005536186"	-10.133	-78.182
"ZINC000023078365"	-10.191	-78.179
"ZINC000008472789"	-10.544	-78.173
"ZINC000005349103"	-10.086	-78.162
"ZINC000100138015"	-10.767	-78.150
"ZINC000020308609"	-10.207	-78.148
"ZINC000952984922"	-10.935	-78.103
"ZINC000041077385"	-10.392	-78.088
"ZINC000009309285"	-10.289	-78.071
"ZINC000020308564"	-10.034	-78.067
"ZINC001775970168"	-10.122	-78.066
"ZINC000022609548"	-11.010	-78.065
"ZINC000022626905"	-11.338	-78.056
"ZINC000040018208"	-10.170	-78.048
"ZINC000306137449"	-10.304	-78.039
"ZINC000012346044"	-10.028	-78.035
"ZINC000030964972"	-10.701	-78.032
"ZINC000020590813"	-10.282	-78.022
"ZINC000003642056"	-10.184	-77.991
"ZINC000033327296"	-10.022	-77.989
"ZINC000022627190"	-10.891	-77.964
"ZINC000035535294"	-10.206	-77.961
"ZINC000409001365"	-10.544	-77.952
"ZINC000067879797"	-10.919	-77.937
"ZINC000102859753"	-11.629	-77.925
"ZINC000409329191"	-10.587	-77.923
"ZINC000025056359"	-10.282	-77.897
"ZINC000012285287"	-10.532	-77.896
"ZINC000101216365"	-10.248	-77.894
"ZINC000023158269"	-10.585	-77.890
"ZINC000022854492"	-10.704	-77.867
"ZINC000048987019"	-10.023	-77.855
"ZINC000008845944"	-10.178	-77.846
"ZINC000038784201"	-10.188	-77.808
"ZINC000102860573"	-10.359	-77.791
"ZINC000024147985"	-10.242	-77.765
"ZINC000006446979"	-10.210	-77.754
"ZINC000035529132"	-10.035	-77.753
"ZINC000008987993"	-10.204	-77.745
"ZINC000003186900"	-10.506	-77.738
