"Title"	"Pharmacophore-Fit Score"	"docking score"
"ZINC000019376500"	66.430	-10.975
"ZINC000003336979"	65.630	-10.974
"ZINC000584901298"	65.570	-10.974
"ZINC000004412760"	66.010	-10.972
"ZINC000004453276"	85.920	-10.971
"ZINC000057487255"	65.890	-10.970
"ZINC000239235551"	66.600	-10.969
"ZINC000004384934"	65.870	-10.968
"ZINC000002622212"	66.670	-10.967
"ZINC001506399066"	65.160	-10.967
"ZINC000012360372"	65.450	-10.966
"ZINC000009481732"	66.160	-10.965
"ZINC000257294848"	66.280	-10.963
"ZINC000012714294"	65.560	-10.963
"ZINC000257298862"	66.000	-10.963
"ZINC000019138314"	65.730	-10.961
"ZINC000257283754"	66.520	-10.961
"ZINC000008484531"	66.660	-10.956
"ZINC000257212460"	66.110	-10.955
"ZINC000020519351"	65.510	-10.955
"ZINC000019759388"	66.390	-10.955
"ZINC000004849222"	65.040	-10.954
"ZINC000020533416"	65.600	-10.953
"ZINC000004142543"	85.710	-10.953
"ZINC000002396883"	66.810	-10.952
"ZINC000011663486"	64.400	-10.947
"ZINC000004862872"	65.620	-10.942
"ZINC000033175347"	65.550	-10.941
"ZINC000585291168"	65.140	-10.939
"ZINC000059477633"	65.680	-10.938
"ZINC000003017667"	65.750	-10.938
"ZINC000022109228"	66.600	-10.938
"ZINC000100575773"	65.390	-10.938
"ZINC000014704908"	65.250	-10.937
"ZINC000000780152"	65.880	-10.936
"ZINC000008870886"	65.350	-10.935
"ZINC000257323193"	65.810	-10.934
"ZINC000028297194"	76.850	-10.934
"ZINC000101723272"	66.120	-10.933
"ZINC000257309966"	66.060	-10.932
"ZINC000012222234"	76.270	-10.928
"ZINC000015073342"	66.690	-10.927
"ZINC000009053675"	66.430	-10.926
"ZINC000008923773"	65.520	-10.926
"ZINC000000703873"	66.030	-10.926
"ZINC000102713620"	66.290	-10.924
"ZINC000239415463"	65.350	-10.923
"ZINC000328780931"	64.790	-10.923
"ZINC000021727167"	65.020	-10.921
"ZINC000000863768"	66.660	-10.919
"ZINC000225234018"	65.760	-10.917
"ZINC000004556244"	65.800	-10.917
"ZINC000003180137"	65.120	-10.916
"ZINC000000783558"	76.550	-10.914
"ZINC000006385718"	65.050	-10.913
"ZINC000006237922"	75.780	-10.912
"ZINC000521205783"	65.810	-10.912
"ZINC000008684484"	65.550	-10.908
"ZINC000024965611"	66.750	-10.906
"ZINC000409216065"	66.280	-10.904
"ZINC000006660119"	65.940	-10.903
"ZINC000048066934"	65.970	-10.902
"ZINC000023337406"	66.280	-10.900
"ZINC000019698152"	66.480	-10.899
"ZINC000048368605"	66.030	-10.896
"ZINC000225549386"	64.950	-10.895
"ZINC000012222743"	66.220	-10.894
"ZINC000001181045"	66.420	-10.892
"ZINC000110676620"	65.340	-10.891
"ZINC000067285438"	66.490	-10.890
"ZINC000019342502"	65.240	-10.889
"ZINC000215453073"	64.310	-10.888
"ZINC000002859139"	65.650	-10.888
"ZINC000012134743"	66.330	-10.888
"ZINC000952972381"	65.200	-10.887
"ZINC000019399945"	65.660	-10.886
"ZINC000019217515"	66.060	-10.886
"ZINC000004492979"	64.410	-10.885
"ZINC000009152318"	66.290	-10.882
"ZINC000012293313"	65.700	-10.881
"ZINC000426652181"	65.830	-10.881
"ZINC000008719765"	66.580	-10.881
"ZINC000408806467"	66.330	-10.880
"ZINC000016837482"	65.300	-10.876
"ZINC000328780929"	64.670	-10.876
"ZINC000253497380"	66.520	-10.875
"ZINC000037556617"	65.640	-10.875
"ZINC000065362342"	65.900	-10.874
"ZINC000409065557"	65.460	-10.874
"ZINC000022185057"	66.630	-10.873
"ZINC000006177144"	65.680	-10.870
"ZINC000253536601"	65.660	-10.870
"ZINC000019452372"	65.190	-10.870
"ZINC000224241374"	66.010	-10.869
"ZINC000002046792"	65.490	-10.868
"ZINC000004371354"	66.090	-10.866
"ZINC000091381868"	66.150	-10.866
"ZINC000299817212"	66.540	-10.866
"ZINC000108800814"	65.590	-10.863
"ZINC000097681851"	64.400	-10.863
"ZINC000225549341"	65.500	-10.863
"ZINC000000852610"	65.520	-10.862
"ZINC000575415321"	76.860	-10.862
"ZINC000012256876"	66.190	-10.862
"ZINC000004812004"	66.060	-10.861
"ZINC000011902294"	66.360	-10.860
"ZINC000019754078"	66.200	-10.860
"ZINC000019928226"	65.120	-10.859
"ZINC000261366069"	66.660	-10.858
"ZINC000408624119"	65.440	-10.857
"ZINC000072161211"	65.440	-10.857
"ZINC000222848871"	64.550	-10.856
"ZINC000004677172"	66.380	-10.855
"ZINC000012337828"	65.720	-10.854
"ZINC000012366461"	65.830	-10.854
"ZINC000032615580"	75.680	-10.853
"ZINC000095726675"	66.820	-10.853
"ZINC000097375815"	66.120	-10.851
"ZINC001547138842"	66.120	-10.850
"ZINC000095478942"	66.530	-10.850
"ZINC000012806076"	65.650	-10.849
"ZINC000004565685"	66.100	-10.849
"ZINC000096154969"	65.840	-10.847
"ZINC000004141547"	66.040	-10.845
"ZINC000426534048"	65.720	-10.844
"ZINC000009152345"	65.370	-10.844
"ZINC000222443968"	66.110	-10.843
"ZINC000072453785"	65.210	-10.842
"ZINC000104188725"	65.550	-10.840
"ZINC000133581757"	65.650	-10.840
"ZINC000000243047"	65.630	-10.839
"ZINC000057487781"	66.390	-10.839
"ZINC000036366904"	65.540	-10.835
"ZINC000010035032"	66.200	-10.834
"ZINC000071388820"	66.430	-10.834
"ZINC000065409005"	66.440	-10.833
"ZINC000009123958"	66.300	-10.833
"ZINC000035316627"	65.870	-10.832
"ZINC000252479497"	64.480	-10.831
"ZINC000012433307"	64.790	-10.831
"ZINC000585294417"	65.410	-10.830
"ZINC000409217894"	66.490	-10.828
"ZINC000020023399"	66.000	-10.828
"ZINC000067299671"	64.540	-10.827
"ZINC000001126896"	66.150	-10.827
"ZINC000102601448"	65.550	-10.827
"ZINC000013165134"	75.690	-10.825
"ZINC000072480485"	65.510	-10.825
"ZINC000001102343"	65.730	-10.825
"ZINC000022235493"	66.210	-10.824
"ZINC000000622993"	64.710	-10.824
"ZINC000019928229"	65.470	-10.824
"ZINC000102546807"	65.910	-10.824
"ZINC000012439464"	65.930	-10.820
"ZINC000426401622"	65.730	-10.820
"ZINC000002313314"	75.990	-10.819
"ZINC000036360736"	65.770	-10.818
"ZINC000035316621"	66.390	-10.817
"ZINC000014902530"	65.390	-10.817
"ZINC000020736462"	65.630	-10.817
"ZINC000019341771"	65.870	-10.815
"ZINC000100165962"	65.500	-10.815
"ZINC000019933462"	66.100	-10.812
"ZINC000257311495"	66.890	-10.811
"ZINC000001187106"	65.320	-10.810
"ZINC000001057916"	65.910	-10.809
"ZINC000003007650"	65.550	-10.809
"ZINC000408892504"	65.950	-10.808
"ZINC000248139657"	75.350	-10.808
"ZINC000096100019"	76.360	-10.807
"ZINC000008612592"	65.770	-10.807
"ZINC000009493434"	65.770	-10.802
"ZINC000012134255"	66.040	-10.802
"ZINC000003366142"	65.590	-10.801
"ZINC000299817288"	76.620	-10.801
"ZINC000006659210"	75.310	-10.800
"ZINC000032868680"	65.960	-10.799
"ZINC000001165444"	66.130	-10.798
"ZINC000095726687"	76.850	-10.797
"ZINC000005106558"	66.080	-10.797
"ZINC000299787023"	66.430	-10.796
"ZINC000022627390"	66.200	-10.794
"ZINC000256001940"	65.560	-10.793
"ZINC000012161574"	65.890	-10.793
"ZINC000022854596"	65.870	-10.792
"ZINC000409352511"	65.900	-10.792
"ZINC000100138400"	66.830	-10.791
"ZINC000004585529"	66.050	-10.791
"ZINC000091364880"	66.570	-10.791
"ZINC000035983686"	64.640	-10.791
"ZINC000039942876"	66.500	-10.791
"ZINC000020138968"	66.310	-10.791
"ZINC000408629251"	66.660	-10.790
"ZINC000100775528"	65.620	-10.790
"ZINC000225549108"	64.460	-10.789
"ZINC000002803030"	65.860	-10.789
"ZINC000012313990"	66.150	-10.788
"ZINC000015424780"	66.630	-10.787
"ZINC000084544223"	64.910	-10.787
"ZINC000020418830"	66.110	-10.786
"ZINC000011694349"	65.760	-10.785
"ZINC000005342683"	65.670	-10.784
"ZINC000001112751"	76.100	-10.783
"ZINC000408798529"	66.410	-10.781
"ZINC000009224207"	66.610	-10.781
"ZINC000409347009"	66.570	-10.781
"ZINC000008716655"	65.710	-10.780
"ZINC000077298748"	66.620	-10.780
"ZINC000306122899"	66.640	-10.778
"ZINC000019732254"	64.440	-10.776
"ZINC000017080184"	66.230	-10.776
"ZINC000257259652"	66.300	-10.776
"ZINC000067621678"	66.280	-10.774
"ZINC000019135204"	66.290	-10.774
"ZINC001704337970"	65.810	-10.773
"ZINC000426739107"	65.740	-10.773
"ZINC000408804311"	66.290	-10.772
"ZINC000009451114"	64.410	-10.769
"ZINC000004061216"	66.470	-10.769
"ZINC000011782797"	65.130	-10.766
"ZINC000409231839"	65.710	-10.766
"ZINC000048373878"	65.790	-10.766
"ZINC000004359706"	65.790	-10.766
"ZINC000057511101"	65.270	-10.765
"ZINC001506410842"	66.010	-10.765
"ZINC000005604948"	65.090	-10.764
"ZINC000012134741"	76.300	-10.764
"ZINC000095917655"	66.460	-10.763
"ZINC000408730691"	66.030	-10.762
"ZINC000013726569"	66.280	-10.760
"ZINC000009467346"	65.230	-10.760
"ZINC000426372528"	65.300	-10.760
"ZINC000409179529"	65.730	-10.759
"ZINC000065215632"	65.920	-10.757
"ZINC000032876545"	65.040	-10.757
"ZINC000002827405"	66.220	-10.757
"ZINC000009610738"	65.800	-10.756
