"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000012302217"	-10.742	-76.025
"ZINC000409354090"	-10.144	-76.000
"ZINC000004971340"	-10.135	-75.995
"ZINC000023250600"	-10.232	-75.979
"ZINC001547206035"	-10.035	-75.974
"ZINC000095472172"	-10.517	-75.961
"ZINC000019331577"	-11.018	-75.960
"ZINC000004412760"	-10.972	-75.945
"ZINC000004565685"	-10.849	-75.937
"ZINC000012974993"	-10.603	-75.936
"ZINC000257302110"	-10.545	-75.902
"ZINC000409354491"	-10.073	-75.901
"ZINC000001440535"	-10.595	-75.897
"ZINC000057487303"	-10.721	-75.888
"ZINC000012337829"	-10.124	-75.878
"ZINC000016477160"	-10.503	-75.834
"ZINC000000990268"	-10.195	-75.831
"ZINC001775965439"	-10.447	-75.820
"ZINC000017094785"	-10.195	-75.799
"ZINC000019376138"	-10.491	-75.796
"ZINC000036613192"	-10.215	-75.779
"ZINC000006385718"	-10.913	-75.777
"ZINC000015411258"	-10.515	-75.689
"ZINC000008684484"	-10.908	-75.657
"ZINC000257322509"	-10.003	-75.656
"ZINC000019452372"	-10.870	-75.650
"ZINC000408798529"	-10.781	-75.634
"ZINC000012569514"	-10.064	-75.621
"ZINC000224132713"	-10.272	-75.608
"ZINC000013566393"	-10.426	-75.607
"ZINC000021143466"	-10.171	-75.606
"ZINC000012228084"	-10.498	-75.570
"ZINC000409281226"	-10.352	-75.558
"ZINC000006679744"	-10.447	-75.550
"ZINC001506405099"	-11.015	-75.545
"ZINC000261364810"	-10.401	-75.543
"ZINC000065491899"	-10.026	-75.541
"ZINC000059408980"	-10.328	-75.540
"ZINC000675008217"	-10.416	-75.516
"ZINC000004085388"	-10.341	-75.500
"ZINC000101058997"	-10.414	-75.492
"ZINC000026510044"	-10.227	-75.490
"ZINC000001376808"	-10.365	-75.477
"ZINC000012377250"	-10.313	-75.467
"ZINC000008715041"	-10.347	-75.465
"ZINC000004492979"	-10.885	-75.459
"ZINC000067216512"	-11.091	-75.442
"ZINC000096114502"	-10.431	-75.430
"ZINC000224219698"	-10.452	-75.429
"ZINC000256049270"	-10.730	-75.382
"ZINC000013343540"	-10.415	-75.370
"ZINC000019910101"	-10.680	-75.367
"ZINC000015829288"	-10.285	-75.351
"ZINC000004394884"	-10.672	-75.350
"ZINC000230318290"	-10.358	-75.326
"ZINC000057487281"	-10.346	-75.312
"ZINC000057427403"	-10.025	-75.287
"ZINC000408618735"	-10.610	-75.275
"ZINC000000233907"	-10.402	-75.267
"ZINC000012806076"	-10.849	-75.249
"ZINC000005006903"	-10.459	-75.228
"ZINC000192955622"	-11.207	-75.222
"ZINC000067562662"	-10.375	-75.218
"ZINC000009451114"	-10.769	-75.206
"ZINC000067258123"	-10.605	-75.150
"ZINC000000783558"	-10.914	-75.144
"ZINC000091770265"	-10.156	-75.125
"ZINC000019135204"	-10.774	-75.102
"ZINC000004164511"	-10.641	-75.090
"ZINC000000889902"	-10.225	-75.078
"ZINC000090610091"	-10.424	-75.063
"ZINC000004881501"	-10.395	-75.047
"ZINC000000572970"	-11.130	-75.044
"ZINC000009519390"	-10.715	-75.028
"ZINC000009439096"	-11.579	-75.026
"ZINC000013609427"	-10.391	-75.016
"ZINC000003655721"	-10.123	-75.015
"ZINC000067237546"	-10.402	-75.003
"ZINC000003007667"	-11.019	-74.989
"ZINC000044803329"	-10.376	-74.981
